rainfall_mm	soil_moisture	slope_deg	ground_movement_mm	elevation_m	landslide
106.53	33.65	20.89	6.46	506.3	0
140.45	54.52	46.51	10.92	2898.13	1
94.75	50.22	10.57	8.94	2678.35	0
85.79	23.62	33.88	8.8	3417.16	0
151.46	36.38	13.0	9.75	2770.69	1
90.85	60.08	31.41	12.67	3254.49	0
118.2	50.22	32.63	6.38	1827.12	0
111.02	39.39	37.11	6.15	2103.69	1
151.38	42.1	26.37	10.76	2976.81	1
76.11	30.62	30.47	5.54	2430.55	0
183.52	46.09	14.05	6.04	2197.31	0
63.42	44.55	28.15	3.92	942.79	0
123.07	37.75	23.65	9.67	1158.24	0
114.18	58.24	38.31	7.37	1569.84	0
59.4	28.26	26.74	3.32	138.07	0
129.56	35.98	43.97	3.77	1811.19	1
80.1	32.51	26.3	4.35	111.35	0
45.93	5.0	16.79	7.11	2416.56	0
139.86	49.32	18.68	8.97	2986.52	1
33.55	25.34	7.26	6.73	2404.81	1
52.5	41.45	32.0	8.87	2943.43	1
94.04	18.05	46.54	1.88	100.05	0
150.76	67.11	43.46	6.77	343.71	0
134.58	59.46	26.89	13.1	2963.7	1
105.45	58.22	14.81	9.79	3391.89	0
25.2	24.91	48.17	6.51	3042.58	1
61.38	45.67	7.84	7.48	2818.35	1
71.22	18.01	24.96	10.79	3000.27	0
44.32	38.31	47.83	6.37	3132.32	0
19.68	15.08	24.66	9.02	3069.95	0
97.0	21.52	10.89	7.96	3125.83	0
137.21	36.7	18.3	5.73	403.48	0
67.4	34.89	35.0	2.54	359.41	0
149.59	43.02	12.6	6.47	1580.59	0
30.31	31.18	37.75	10.08	2263.15	0
42.28	7.6	26.91	5.58	3226.74	0
95.69	15.53	21.72	7.45	1472.3	0
63.47	50.43	17.05	8.78	1227.98	0
130.32	59.52	46.17	13.03	3303.94	1
117.4	33.24	24.83	3.37	1122.28	0
66.67	34.63	41.92	7.33	3465.45	0
32.77	39.44	27.02	1.99	826.25	0
61.43	38.55	9.59	5.77	1573.84	0
119.18	48.0	27.03	8.14	1744.41	0
133.49	62.51	30.38	4.46	1327.99	0
63.67	25.24	27.89	1.1	113.76	0
19.58	24.68	45.81	2.48	1065.59	0
28.93	26.15	50.54	5.06	1484.38	0
113.24	41.64	44.34	11.58	1385.86	0
65.91	29.82	34.14	7.59	3320.78	1
67.02	35.62	32.07	1.42	294.21	0
41.75	29.6	37.23	3.37	1694.69	0
41.15	16.47	19.39	3.92	253.81	0
148.06	62.2	45.59	13.08	3915.66	1
115.76	33.75	47.84	9.3	3339.86	0
55.64	29.62	18.36	9.81	4126.86	0
91.23	36.53	50.14	9.96	3831.66	1
101.62	46.65	47.44	7.67	1394.83	1
223.88	43.82	26.22	18.53	2935.49	0
38.51	39.16	50.45	6.65	1356.87	0
100.77	34.05	11.02	10.57	3741.67	0
147.62	67.12	6.4	6.46	1784.09	0
208.52	60.14	22.39	6.6	1641.14	0
53.62	31.21	33.27	11.98	3847.68	0
